,Headlines,Date
0,"Stock market holiday: BSE, NSE closed today on account of Good Friday","Apr 15, 2022, 09:18 AM"
1,"US stocks dip, bond yields climb on tightening concerns","Apr 15, 2022, 08:48 AM"
2,"ZEE5 aims to have 50% subscribers from South India, says chief business officer Manish Kalra","Apr 14, 2022, 10:21 PM"
3,Inside Out: A deep dive into AGS Transact Technologies and all about Vardhman Textiles,"Apr 14, 2022, 03:56 PM"
4,Asian shares track Wall Street higher as US yields stabilise,"Apr 14, 2022, 10:53 AM"
5,"Stock market holiday: BSE, NSE closed today on Ambedkar Jayanti","Apr 14, 2022, 08:20 AM"
