,Headlines,Date
0,"Stock Market Highlights: Sensex ends 233 pts lower, extends losses to 3rd day; Nifty50 below 17,200","Mar 25, 2022, 07:15 PM"
1,"Titan valuation rich, limited scope for EPS upgrade: JPMorgan","Mar 25, 2022, 06:33 PM"
2,Taking Stock: Market expert Jai Bala negative on Apollo Tyres and Maruti Suzuki,"Mar 25, 2022, 05:52 PM"
3,Motherson Sumi Wiring to list on March 28,"Mar 25, 2022, 04:22 PM"
4,Jefferies initiates ‘buy’ on Anupam Rasayan; details here,"Mar 25, 2022, 04:12 PM"
5,"Closing Bell: Sensex drops 483 pts from day's high, Nifty50 gives up 17,200 dragged by IT stocks","Mar 25, 2022, 03:53 PM"
6,"Titan, Maruti Suzuki, CONCOR and more: Key stocks that moved the most on Mar 25","Mar 25, 2022, 03:45 PM"
7,"Your Stocks: What experts say on HDFC Bank, Yes Bank, Dixon Tech","Mar 25, 2022, 02:44 PM"
8,CLSA says 'buy' UPL shares; stock rises 2%,"Mar 25, 2022, 02:21 PM"
9,JPMorgan ‘neutral’ on Titan; here’s why,"Mar 25, 2022, 01:34 PM"
10,"Jefferies initiates ‘buy’ call on Anupam Rasayan, sees 17% upside; shares jump 5%","Mar 25, 2022, 12:46 PM"
11,Momentumisers: Here’s why Dr Reddy's Lab shares have been rising,"Mar 25, 2022, 12:27 PM"
12,Bharti Airtel shares up 1%; here's why,"Mar 25, 2022, 11:35 AM"
13,SBI shares rise post tie-up with 5 housing finance firms for affordable home loans,"Mar 25, 2022, 11:19 AM"
14,Ruchi Soya FPO: Public offering subscribed over 8% on Day 1; retail portion booked 20%,"Mar 25, 2022, 10:32 AM"
15,Motherson Sumi Systems shares gain 5% on order win from Boeing,"Mar 25, 2022, 10:18 AM"
16,"Opening Bell: Sensex up over 200 points, Nifty50 above 17,250; Motherson jumps after Boeing order","Mar 25, 2022, 10:01 AM"
17,"Top stock tips by Rajat Bose, Prakash Gaba: ITC, HCL Tech, IEX and more","Mar 25, 2022, 09:40 AM"
18,"MarketBuzz Podcast With Sonia Shenoy: Sensex, Nifty likely to open higher today; SGX Nifty futures rise","Mar 25, 2022, 09:07 AM"
19,10 things you need to know before opening bell on Mar 25,"Mar 25, 2022, 08:45 AM"
20,"Asian shares steady, set for weekly gain in volatile trading","Mar 25, 2022, 08:39 AM"
21,"Friday's top brokerage calls: Anupam Rasayan, ICICI Bank, Maruti Suzuki and UPL","Mar 25, 2022, 08:24 AM"
22,"Trade setup for March 25: Can bulls help Nifty50 take out 17,325 hurdle soon? Check out key market cues and technical chart signals","Mar 25, 2022, 07:54 AM"
23,"IOC, Zen Tech, Motherson Sumi, Tata Consumer and more: Top stocks to watch out for on Mar 25","Mar 25, 2022, 07:15 AM"
24,5G spectrum will enable industries to leverage their game: Bharti Airtel,"Mar 24, 2022, 10:07 PM"
25,"Canada Pension Plan sells Rs 6,800 crore worth shares of Kotak Mahindra Bank","Mar 24, 2022, 09:52 PM"
26,"Mapping Nifty's 2 year pandemic journey: From 7,500 to 17,000","Mar 24, 2022, 09:13 PM"
27,Young Turks: Zomato launches 10-minute food delivery; experts weigh in,"Mar 24, 2022, 09:08 PM"
28,"Will transfer Patanjali's food portfolio to Ruchi Soya, says Baba Ramdev","Mar 24, 2022, 08:58 PM"
29,Top News Podcast: Dhoni makes Jadeja CSK captain; Zee shares surge as Invesco drops EGM demand; Paytm stock up 9% and more,"Mar 24, 2022, 06:25 PM"
30,Paras Defence says Rs 300 crore worth of orders in pipeline; developing tech with DRDO,"Mar 24, 2022, 04:15 PM"
31,"Kotak Mahindra, HDFC, ICICI Bank shares slip, SBI, PNB rise; why banking stocks are trading mixed","Mar 24, 2022, 04:12 PM"
32,"Closing Bell: Indices end marginally lower amid volatility; Metal, pharma rally; Bank falls","Mar 24, 2022, 03:54 PM"
33,CLSA maintains ‘sell’ call on Tata Motors,"Mar 24, 2022, 03:43 PM"
34,"Stock Market Highlights: Indices end lower amid volatility; IT, Metal, Pharma gain; Ruchi Soya FPO subscribed 9%","Mar 24, 2022, 03:35 PM"
35,Ruchi Soya FPO opens: Should investors subscribe?,"Mar 24, 2022, 02:38 PM"
36,"Paytm shares jump 13% after freefall, still at 72% discount to issue price","Mar 24, 2022, 01:44 PM"
37,Zee shares surge over 15% after Invesco drops EGM demand,"Mar 24, 2022, 12:52 PM"
38,'About doing boring things well': Nithin Kamath's advice on better portfolio returns,"Mar 24, 2022, 11:20 AM"
39,"Credit Suisse downgrades ABB, Siemens to ‘neutral’; here’s why","Mar 24, 2022, 11:19 AM"
40,"Opening bell: Sensex down 494 points, Nifty cracks below 17,100; Zee surges 10%","Mar 24, 2022, 09:33 AM"
41,"Top stock tips by Sudarshan Sukhani, Prakash Gaba: Asian Paints, ITC, Mindtree and more","Mar 24, 2022, 09:15 AM"
42,"MarketBuzz Podcast With Sonia Shenoy: Sensex, Nifty likely to open lower today amid weakness across global markets","Mar 24, 2022, 09:02 AM"
43,"Thursday’s top brokerage calls: HDFC Life, Tata Motors, Bandhan Bank and more","Mar 24, 2022, 08:36 AM"
44,"Hero MotoCorp, TCS, Ruchi Soya, Sun Pharma, and more: Top stocks to watch out for on Mar 24","Mar 24, 2022, 08:17 AM"
45,"Trade setup for March 24: Is 17,000 a near-term bottom for Nifty? From key market cues to technical signals to important levels to track","Mar 24, 2022, 07:32 AM"
46,10 things you need to know before opening bell on Mar 24,"Mar 24, 2022, 07:27 AM"
47,Wall Street closing: How major US stock indices fared on Wednesday,"Mar 24, 2022, 06:48 AM"
