,Headlines,Date
0,These 2 stocks help Rakesh Jhunjhunwala get richer by Rs 861 crore in just 1 day,"Mar 18, 2022, 07:52 PM"
1,Asian stocks advance despite oil prices climb near $105,"Mar 18, 2022, 12:35 PM"
2,"Stock market holiday: BSE, NSE remain shut today for Holi","Mar 18, 2022, 09:39 AM"
3,"Global stocks step back, oil bounces as peace talks stall","Mar 18, 2022, 08:25 AM"
4,Corrtech International files draft papers with Sebi to raise funds via IPO,"Mar 17, 2022, 10:20 PM"
5,Taking Stock: Market expert Jai Bala positive on Ajanta Pharma and ABFRL,"Mar 17, 2022, 05:58 PM"
6,"Stock Market Highlights: Sensex ends 1,047 pts higher, Nifty reclaims 17,250; IT index edges lower ahead of Accenture results","Mar 17, 2022, 03:58 PM"
7,"Kotak Bank, SBI, Future Retail, JSW Steel, Nykaa and more: Key stocks that moved the most on Mar 17","Mar 17, 2022, 03:45 PM"
8,"Closing Bell: Sensex, Nifty surge after Fed's in-line rate hike, upbeat commentary; VIX at 1-month low","Mar 17, 2022, 03:42 PM"
9,Nifty crosses 200 DMA amid broad-based rally as in-line Fed action boosts global equities,"Mar 17, 2022, 03:27 PM"
10,"Banking stocks in limelight as Axis Bank, HDFC Bank, SBI, RBL Bank gain; should you buy, sell or hold?","Mar 17, 2022, 02:39 PM"
11,"FIIs bought Rs 312-crore Indian shares on Wednesday, highest inflow in over 2 months","Mar 17, 2022, 02:34 PM"
12,Jefferies initiates coverage on Nykaa with 'buy' rating,"Mar 17, 2022, 01:28 PM"
13,"JPMorgan raises Coal India target price by 11%, maintains 'overweight' rating","Mar 17, 2022, 01:09 PM"
14,"Active vs passive fund management: Risk, returns and more","Mar 17, 2022, 12:25 PM"
